"","date","den","loc"
"115",2010-07-01,23.2208000183105,"NEAS"
"116",2010-08-01,23.5198748111725,"NEAS"
"117",2010-09-01,23.3780002593994,"NEAS"
"118",2010-10-01,23.0636248588562,"NEAS"
"119",2010-11-01,23.4156246185303,"NEAS"
"120",2010-12-01,23.964124917984,"NEAS"
"121",2011-01-01,24.2652502059937,"NEAS"
"122",2011-02-01,24.0859997272491,"NEAS"
"123",2011-03-01,23.7112503051758,"NEAS"
"124",2011-04-01,23.3215556674533,"NEAS"
"125",2011-05-01,23.0209999084473,"NEAS"
"126",2011-06-01,23.0852222442627,"NEAS"
"127",2011-07-01,23.4912221696642,"NEAS"
"128",2011-08-01,23.6588887108697,"NEAS"
"129",2011-09-01,23.7091113196479,"NEAS"
"130",2011-10-01,23.3482501506805,"NEAS"
"131",2011-11-01,23.3556249141693,"NEAS"
"132",2011-12-01,23.7683334350586,"NEAS"
"133",2012-01-01,24.1664996147156,"NEAS"
"134",2012-02-01,24.3482501506805,"NEAS"
"135",2012-03-01,24.2879998948839,"NEAS"
"136",2012-04-01,23.6373998641968,"NEAS"
"137",2012-05-01,23.149400138855,"NEAS"
"138",2012-06-01,23.0479995727539,"NEAS"
"139",2012-07-01,23.5121818889271,"NEAS"
"140",2012-08-01,23.7667999267578,"NEAS"
"141",2012-09-01,23.5820910713889,"NEAS"
"142",2012-10-01,23.3191819624467,"NEAS"
"143",2012-11-01,23.4734998703003,"NEAS"
"144",2012-12-01,23.7901109059652,"NEAS"
"145",2013-01-01,24.2920999526978,"NEAS"
"146",2013-02-01,24.3042997360229,"NEAS"
"147",2013-03-01,23.9671818126332,"NEAS"
"148",2013-04-01,23.5239087885076,"NEAS"
"149",2013-05-01,22.9991817474365,"NEAS"
"150",2013-06-01,23.1285455877131,"NEAS"
"151",2013-07-01,23.6928182081743,"NEAS"
"152",2013-08-01,23.9001815102317,"NEAS"
"153",2013-09-01,23.5701665878296,"NEAS"
"154",2013-10-01,23.3672729838978,"NEAS"
"155",2013-11-01,23.5130910006436,"NEAS"
"156",2013-12-01,23.9205455780029,"NEAS"
"157",2014-01-01,24.49827263572,"NEAS"
"158",2014-02-01,24.584100151062,"NEAS"
"159",2014-03-01,24.108099937439,"NEAS"
"160",2014-04-01,23.5254999160767,"NEAS"
"161",2014-05-01,23.0158002853394,"NEAS"
"162",2014-06-01,23.0103998184204,"NEAS"
"163",2014-07-01,23.5089002609253,"NEAS"
"164",2014-08-01,23.8478182012385,"NEAS"
"165",2014-09-01,23.6323637528853,"NEAS"
"166",2014-10-01,23.2229090603915,"NEAS"
"167",2014-11-01,23.457799911499,"NEAS"
"168",2014-12-01,23.7931997299194,"NEAS"
"169",2015-01-01,24.2757778167725,"NEAS"
"170",2015-02-01,24.26288901435,"NEAS"
"171",2015-03-01,24.239000082016,"NEAS"
"172",2015-04-01,23.4612001419067,"NEAS"
"173",2015-05-01,22.928099822998,"NEAS"
"174",2015-06-01,23.0045000076294,"NEAS"
"175",2015-07-01,23.4609998703003,"NEAS"
"176",2015-08-01,23.7218002319336,"NEAS"
"177",2015-09-01,23.3842998504639,"NEAS"
"178",2015-10-01,23.0656664106581,"NEAS"
"179",2015-11-01,23.4334997177124,"NEAS"
"180",2015-12-01,23.8886001586914,"NEAS"
"181",2016-01-01,24.1548999786377,"NEAS"
"182",2016-02-01,24.300899887085,"NEAS"
"183",2016-03-01,23.8678998947144,"NEAS"
"184",2016-04-01,23.389700126648,"NEAS"
"185",2016-05-01,22.9700000762939,"NEAS"
"186",2016-06-01,22.9999000549316,"NEAS"
"187",2016-07-01,23.5390995025635,"NEAS"
"188",2016-08-01,23.8703001022339,"NEAS"
"189",2016-09-01,23.7376998901367,"NEAS"
"190",2016-10-01,23.5459001541138,"NEAS"
"191",2016-11-01,23.693545254794,"NEAS"
"192",2016-12-01,24.0116996765137,"NEAS"
"193",2017-01-01,24.0956365411932,"NEAS"
"194",2017-02-01,24.1832727952437,"NEAS"
"195",2017-03-01,23.9193637154319,"NEAS"
"196",2017-04-01,23.4835454767401,"NEAS"
"197",2017-05-01,23.0970911546187,"NEAS"
"198",2017-06-01,23.0448999404907,"NEAS"
"199",2017-07-01,23.515363519842,"NEAS"
"200",2017-08-01,23.72350025177,"NEAS"
"201",2017-09-01,23.4650911851363,"NEAS"
"202",2017-10-01,23.1901817321777,"NEAS"
"203",2017-11-01,23.4101999282837,"NEAS"
"204",2017-12-01,24.0454998016357,"NEAS"
"205",2018-01-01,24.3316667344835,"NEAS"
"206",2018-02-01,24.2097776201036,"NEAS"
"207",2018-03-01,23.8059000015259,"NEAS"
"208",2018-04-01,23.1822225782606,"NEAS"
"209",2018-05-01,22.7569000244141,"NEAS"
"210",2018-06-01,22.9973001480103,"NEAS"
"211",2018-07-01,23.6639997959137,"NEAS"
