"","scm","scm_depth","sigma_surf","sig_temp","sst","sss","surf_chl","pyc_depth","set_vel","temp","chl_spd","delta_sigma","factor","warm_ind","strat","sigma_anomaly"
"1",0.891063724969143,45.7296496018676,24.2322054153717,1.03981458029224,25.19700050354,36.4440002441406,0.678900003433228,25.9630215845924,-1.79298303085484e-09,25.19700050354,49.0907760601172,0.876789918246594,"Low","Normal","Normal","positive sigma anomaly"
"2",1.0554988390021,4.40000018144445,24.4155214393702,1.01799994744972,24.8549995422363,36.5470008850098,1.07309997081757,40.339756872317,-1.80618432135612e-09,24.8549995422363,2.96604772660542,1.06010594224508,"High","Normal","Normal","positive sigma anomaly"
"3",0.886171436914887,28.8230340430719,24.4130231992146,1.01994740329134,24.8999996185303,36.5410003662109,0.817600011825562,49.1384070908731,-1.80762958204198e-09,24.8999996185303,27.4417383851436,1.05760770208953,"Low","Normal","Normal","positive sigma anomaly"
"4",1.03575636119218,26.1873194615758,24.4223057898071,1.02119761945109,24.9400005340576,36.5410003662109,1.1826000213623,75.5495026561825,-1.81059882774593e-09,24.9400005340576,33.0841381720651,1.06689029268195,"High","Normal","Normal","positive sigma anomaly"
"5",1.00171859926652,25.9665169006198,24.4258069635887,1.01421421835078,24.7730007171631,36.5299987792969,0.802999973297119,68.1823675375621,-1.80450410655387e-09,24.7730007171631,26.4687181290909,1.07039146646357,"High","Normal","Normal","positive sigma anomaly"
"6",0.986368112016162,28.5984633943913,24.4387450047991,1.01257246577341,24.746000289917,36.5400009155273,0.766499996185303,60.5692142083612,-1.80530117616908e-09,24.746000289917,25.5789160947221,1.08332950767399,"Low","Normal","Normal","positive sigma anomaly"
"7",1.244134857481,44.7438708000986,23.8532506380346,1.09226206733217,26.0540008544922,36.2960014343262,0.328500002622604,13.9955510880207,-1.77058394278256e-09,26.0540008544922,10.824908986809,0.497835140909523,"High","Normal","Normal","positive sigma anomaly"
"8",0.834936880521082,22.4395604807054,23.9954054320366,1.07687282991637,25.8400001525879,36.4010009765625,0.627799987792969,34.8275002152466,-1.78308225819063e-09,25.8400001525879,19.6132491382219,0.639989934911476,"Low","Normal","Normal","positive sigma anomaly"
"9",1.04296440160298,42.3689474091426,23.7990553347938,1.10735488114201,26.3540000915527,36.3489990234375,0.437999993562698,91.5365280216396,-1.77375438293166e-09,26.3540000915527,23.0724282387399,0.443639837668705,"High","Normal","Normal","positive sigma anomaly"
"10",1.25993778914954,25.2377942466008,23.8790762285125,1.099707542184,26.2600002288818,36.3979988098145,1.10959994792938,60.0362270365126,-1.78191751979052e-09,26.2600002288818,27.4773988082428,0.523660731387416,"High","Normal","Normal","positive sigma anomaly"
"11",0.887120702749042,17.3183889610172,23.9552395765859,1.0793463708683,25.8560009002686,36.3279991149902,0.773800015449524,169.944183238306,-1.77801054873236e-09,25.8560009002686,23.2233029267485,0.599824079460767,"Low","Normal","Normal","positive sigma anomaly"
"12",2.84072564184179,20.4816052198947,24.4738242844508,0.989587878918386,24.2189998626709,36.375,2.50755000114441,45.021549626073,-1.79006946863572e-09,24.2189998626709,22.8733860919005,1.11840878732564,"High","Normal","Normal","positive sigma anomaly"
"13",1.36434331007357,30.5149577285094,24.3864288902721,1.0258984520291,25.0179996490479,36.5690002441406,1.21909999847412,135.978585899056,-1.80827618200604e-09,25.0179996490479,30.8706372658772,1.03101339314698,"High","Normal","Normal","positive sigma anomaly"
"14",1.08487521299081,26.124520000891,24.6801910240499,0.961418840630005,23.7280006408691,36.4539985656738,0.912500023841858,66.5846921894562,-1.80020466381127e-09,23.7280006408691,28.630955932954,1.3247755269248,"High","Normal","Normal","positive sigma anomaly"
"15",1.04327223179959,-4.68876798248485,24.5345831743066,0.998508881004315,24.4979991912842,36.556999206543,0.744599997997284,187.825728877823,-1.80946289821474e-09,24.4979991912842,50.3909142109012,1.17916767718147,"High","Normal","Normal","positive sigma anomaly"
"16",2.65427651928517,2.10013021494155,24.4144391437612,1.00973036005808,24.6520004272461,36.4640007019043,2.30679988861084,24.1239202302349,-1.79826190375305e-09,24.6520004272461,5.48702899107642,1.05902364663611,"High","Normal","Normal","positive sigma anomaly"
"17",1.26797442706224,31.5686654583901,23.9747694056298,1.07754945195522,25.8339996337891,36.3650016784668,0.40149998664856,-37.3301253702232,-1.77992195143057e-09,25.8339996337891,12.5254960317189,0.619353908504671,"High","Normal","Normal","positive sigma anomaly"
"18",0.242130463730265,29.1895774110756,23.9180111611788,1.1011784870567,26.3379993438721,36.4980010986328,0.233600005507469,63.8135580305799,-1.79034599219311e-09,26.3379993438721,34.4167258972199,0.562595664053696,"Low","Normal","Normal","positive sigma anomaly"
"19",0.509229565698522,26.5364648685489,24.1020417802165,1.07007533226421,25.7910003662109,36.523998260498,0.518299996852875,77.5393297455539,-1.79658529992897e-09,25.7910003662109,37.1132128879587,0.746626283091381,"Low","Normal","Normal","positive sigma anomaly"
"20",0.4898799036648,35.110381933877,24.1067320942891,1.07123600593815,25.8239994049072,36.5439987182617,0.343100011348724,37.7759297533355,-1.79849375441605e-09,25.8239994049072,32.796963571107,0.751316597163985,"Low","Normal","Normal","positive sigma anomaly"
"21",1.25396273789318,56.9726751588695,23.7694243343751,1.12093581758306,26.6439990997314,36.4379997253418,0.218999996781349,84.2184692841155,-1.7800023959714e-09,26.6439990997314,8.60132652609671,0.414008837250002,"High","Normal","Normal","positive sigma anomaly"
