"","sst","pden","chl","c"
"1",-0.671581038003077,-5.27988303628943,-0.0134632205755023,-0.0134632205755023
"2",-0.655459287429153,-5.41539215636083,-0.0175046903982445,-0.0175046903982445
"3",-0.639180035379909,-5.55036737399368,-0.021524774403781,-0.021524774403781
"4",-0.622748702512156,-5.68479528546992,-0.0255219597134163,-0.0255219597134163
"5",-0.606170735296299,-5.81866165662083,-0.0294947371990761,-0.0294947371990761
"6",-0.589451607325588,-5.95195161599298,-0.0334416030315843,-0.0334416030315843
"7",-0.572596818167441,-6.08464955431024,-0.0373610641391866,-0.0373610641391866
"8",-0.555611887717298,-6.21673909681751,-0.0412516396352879,-0.0412516396352879
"9",-0.538502360037243,-6.34820336765538,-0.0451118619473808,-0.0451118619473808
"10",-0.52127379801723,-6.47902520828778,-0.0489402813521413,-0.0489402813521413
"11",-0.50393177301284,-6.60918748425652,-0.052735468272021,-0.052735468272021
"12",-0.486481864927322,-6.73867338574694,-0.0564960180675378,-0.0564960180675378
"13",-0.468929655446536,-6.86746653590474,-0.0602205598745421,-0.0602205598745421
"14",-0.451280724776735,-6.99555098763557,-0.0639077612223971,-0.0639077612223971
"15",-0.433540659019828,-7.12291129428584,-0.0675563303725175,-0.0675563303725175
"16",-0.41571505051232,-7.2495324423471,-0.0711650210976182,-0.0711650210976182
"17",-0.397809494206169,-7.37539965882888,-0.0747326359828377,-0.0747326359828377
"18",-0.37982958849036,-7.50049824005881,-0.0782580292451226,-0.0782580292451226
"19",-0.361780930836947,-7.62481318186575,-0.0817401113929364,-0.0817401113929364
"20",-0.343669113107599,-7.74832887346241,-0.0851778501326876,-0.0851778501326876
"21",-0.32549972701023,-7.87102898562827,-0.0885702690681627,-0.0885702690681627
"22",-0.307278358140215,-7.99289622365184,-0.0919164486602809,-0.0919164486602809
"23",-0.289010571705455,-8.11391208368696,-0.0952155262546392,-0.0952155262546392
"24",-0.270701908086643,-8.23405693233412,-0.0984666960013551,-0.0984666960013551
"25",-0.25235787562234,-8.35331017325013,-0.101669209513199,-0.101669209513199
"26",-0.233983946379375,-8.4716504863268,-0.104822374652552,-0.104822374652552
"27",-0.215585560851476,-8.58905632583377,-0.107925553961614,-0.107925553961614
"28",-0.197168125095685,-8.70550621969764,-0.11097816429924,-0.11097816429924
"29",-0.1787370028446,-8.82097891283478,-0.113979675540874,-0.113979675540874
"30",-0.160297515756361,-8.93545371941798,-0.116929609123646,-0.116929609123646
"31",-0.141854944163027,-9.0489107825688,-0.119827537961817,-0.119827537961817
"32",-0.123414523538549,-9.16133119587494,-0.122673084701332,-0.122673084701332
"33",-0.1049814463509,-9.27269717788096,-0.125465919605065,-0.125465919605065
"34",-0.0865608584784253,-9.38299214059032,-0.128205760315542,-0.128205760315542
"35",-0.0681578502181568,-9.4922005957805,-0.130892370817291,-0.130892370817291
"36",-0.0497774552473444,-9.60030819114097,-0.133525560588366,-0.133525560588366
"37",-0.0314246484655484,-9.70730172804293,-0.136105186058116,-0.136105186058116
"38",-0.0131043429938682,-9.81316908044359,-0.138631150306292,-0.138631150306292
"39",0.00517860644078501,-9.91789930105545,-0.141103400793743,-0.141103400793743
"40",0.0234194027354347,-10.0214824642659,-0.14352192960283,-0.14352192960283
"41",0.0416133108913521,-10.1239092628885,-0.145886773018648,-0.145886773018648
"42",0.0597556569660255,-10.225170512554,-0.148198008829488,-0.148198008829488
"43",0.0778418280172967,-10.3252563706549,-0.150455754521271,-0.150455754521271
"44",0.0958672740044432,-10.4241557677785,-0.152660162817826,-0.152660162817826
"45",0.113827500994217,-10.521856097134,-0.154811414727377,-0.154811414727377
"46",0.131718072260217,-10.6183429017257,-0.156909715716655,-0.156909715716655
"47",0.149534617772543,-10.7135996338009,-0.158955292677387,-0.158955292677387
"48",0.167272836132437,-10.807607537979,-0.160948389688807,-0.160948389688807
"49",0.184928496775157,-10.9003455656529,-0.162889264766035,-0.162889264766035
"50",0.202497442255835,-10.9917904135814,-0.164778186443898,-0.164778186443898
"51",0.219975583623478,-11.0819168298905,-0.166615430152146,-0.166615430152146
"52",0.237358901148866,-11.1706977943953,-0.168401277476635,-0.168401277476635
"53",0.254643452470874,-11.258104592966,-0.170136016124132,-0.170136016124132
"54",0.271825370783876,-11.3441069700114,-0.171819938612353,-0.171819938612353
"55",0.288900859417859,-11.4286731244123,-0.173453341862955,-0.173453341862955
"56",0.305866190358551,-11.5117697026017,-0.175036525789023,-0.175036525789023
"57",0.322717696933386,-11.5933618802234,-0.176569791984657,-0.176569791984657
"58",0.339451772105565,-11.6734134633003,-0.178053444602052,-0.178053444602052
"59",0.356064872172511,-11.7518870376375,-0.179487790613247,-0.179487790613247
"60",0.37255351419421,-11.8287440736149,-0.180873140423329,-0.180873140423329
"61",0.38891427511021,-11.903944947903,-0.182209809726745,-0.182209809726745
"62",0.405143790807719,-11.9774488821162,-0.183498120012762,-0.183498120012762
"63",0.421238750776094,-12.0492138903293,-0.184738398586653,-0.184738398586653
"64",0.437195895581224,-12.1191967450623,-0.185930979542777,-0.185930979542777
"65",0.453012017245824,-12.1873529617224,-0.187076203798017,-0.187076203798017
"66",0.468683955574926,-12.2536367669871,-0.188174418282414,-0.188174418282414
"67",0.484208595364089,-12.3180009585129,-0.189225975634255,-0.189225975634255
"68",0.499582863941958,-12.3803968275321,-0.190231232136113,-0.190231232136113
"69",0.514803722509975,-12.4407741891479,-0.191190544533246,-0.191190544533246
"70",0.529868165370449,-12.4990814081259,-0.192104268368013,-0.192104268368013
"71",0.544773225912097,-12.555265478206,-0.19297275612645,-0.19297275612645
"72",0.559515977100161,-12.6092722706656,-0.193796355268224,-0.193796355268224
"73",0.574093533544977,-12.6610468068812,-0.194575407030467,-0.194575407030467
"74",0.58850305237249,-12.710533586625,-0.195310245084534,-0.195310245084534
"75",0.602741728742856,-12.7576770962349,-0.196001194476455,-0.196001194476455
"76",0.616806796410718,-12.8024221546566,-0.196648571847548,-0.196648571847548
"77",0.630695533027704,-12.8447141551472,-0.197252685766427,-0.197252685766427
"78",0.644405259088327,-12.8844994040707,-0.197813836463954,-0.197813836463954
"79",0.657933334898708,-12.921725350959,-0.198332316115219,-0.198332316115219
"80",0.671277161312488,-12.9563407714984,-0.198808408953483,-0.198808408953483
"81",0.684434177305948,-12.9882960184553,-0.199242391506194,-0.199242391506194
"82",0.69740186210921,-13.0175431867928,-0.199634533726506,-0.199634533726506
"83",0.71017774267058,-13.044036178454,-0.199985099630579,-0.199985099630579
"84",0.72275939551524,-13.0677308619888,-0.200294347490836,-0.200294347490836
"85",0.73514444879864,-13.0885851930845,-0.200562531008955,-0.200562531008955
"86",0.747330585226407,-13.1065592963221,-0.200789900157529,-0.200789900157529
"87",0.759315540815403,-13.1216156972405,-0.200976701261557,-0.200976701261557
"88",0.771097106132779,-13.1337193354165,-0.201123178566189,-0.201123178566189
"89",0.78267313181526,-13.1428374153622,-0.201229575347927,-0.201229575347927
"90",0.794041529543566,-13.1489392126286,-0.201296133619261,-0.201296133619261
"91",0.805200273432878,-13.1519956360387,-0.201323094702823,-0.201323094702823
"92",0.816147402747052,-13.1519789506733,-0.201310698405453,-0.201310698405453
"93",0.826881017592788,-13.1488627081842,-0.20125918101091,-0.20125918101091
"94",0.837399282563245,-13.1426215955581,-0.201168775225596,-0.201168775225596
"95",0.847700438106022,-13.1332313287521,-0.201039710198568,-0.201039710198568
"96",0.857782803851105,-13.1206686431353,-0.20087221088183,-0.20087221088183
"97",0.867644781806614,-13.1049112025516,-0.200666498173114,-0.200666498173114
"98",0.877284858899955,-13.0859375849193,-0.200422788812242,-0.200422788812242
"99",0.886701602144891,-13.063727514853,-0.200141294906451,-0.200141294906451
"100",0.895893659342341,-13.0382619377957,-0.199822225617357,-0.199822225617357
"101",0.904859766737281,-13.0095230114856,-0.199465788945727,-0.199465788945727
"102",0.913598745683114,-12.9774942224915,-0.199072192503802,-0.199072192503802
"103",0.922109495361525,-12.9421603194546,-0.198641645763502,-0.198641645763502
"104",0.930390990933491,-12.9035072245372,-0.198174360800317,-0.198174360800317
"105",0.938442275591807,-12.8615221069251,-0.197670552504453,-0.197670552504453
"106",0.946262459190187,-12.8161934722739,-0.197130441105822,-0.197130441105822
"107",0.953850724211823,-12.767511258306,-0.196554254247757,-0.196554254247757
"108",0.96120632351337,-12.7154670035015,-0.195942229205857,-0.195942229205857
"109",0.96832857895844,-12.6600539620112,-0.195294616943172,-0.195294616943172
"110",0.975216880773016,-12.6012670647867,-0.194611684689387,-0.194611684689387
"111",0.981870680671143,-12.539102934344,-0.193893716741547,-0.193893716741547
"112",0.98828948670116,-12.4735598856264,-0.193141017179181,-0.193141017179181
"113",0.994472863145629,-12.4046378230698,-0.19235391249734,-0.19235391249734
"114",1.00042042430034,-12.3323381385674,-0.191532752286993,-0.191532752286993
"115",1.00613182749547,-12.2566635389902,-0.190677910422455,-0.190677910422455
"116",1.01160676911746,-12.1776177612647,-0.189789784448394,-0.189789784448394
"117",1.0168449729523,-12.0952053352403,-0.188868792205944,-0.188868792205944
"118",1.02184618739255,-12.0094313487106,-0.187915370746568,-0.187915370746568
"119",1.0266101937029,-11.9203011163096,-0.186929976542241,-0.186929976542241
"120",1.03113680670294,-11.8278201551857,-0.185913083586171,-0.185913083586171
"121",1.03542587402608,-11.7319943349613,-0.184865181758386,-0.184865181758386
"122",1.03947727629465,-11.6328300232288,-0.183786775536301,-0.183786775536301
"123",1.04329091995156,-11.5303345007724,-0.182678381484471,-0.182678381484471
"124",1.04686673426753,-11.4245162081269,-0.181540527963598,-0.181540527963598
"125",1.05020467831634,-11.3153847824931,-0.180373756035201,-0.180373756035201
"126",1.05330473620465,-11.2029513270623,-0.179178618042041,-0.179178618042041
"127",1.05616690574026,-11.0872286562436,-0.177955676410723,-0.177955676410723
