,date,den,loc
170,01/02/15,24.26288901,NEAS
171,01/03/15,24.23900008,NEAS
172,01/04/15,23.46120014,NEAS
173,01/05/15,22.92809982,NEAS
174,01/06/15,23.00450001,NEAS
175,01/07/15,23.46099987,NEAS
176,01/08/15,23.72180023,NEAS
177,01/09/15,23.38429985,NEAS
178,01/10/15,23.06566641,NEAS
179,01/11/15,23.43349972,NEAS
180,01/12/15,23.88860016,NEAS
181,01/01/16,24.15489998,NEAS
182,01/02/16,24.30089989,NEAS
183,01/03/16,23.86789989,NEAS
184,01/04/16,23.38970013,NEAS
185,01/05/16,22.97000008,NEAS
186,01/06/16,22.99990005,NEAS
187,01/07/16,23.5390995,NEAS
188,01/08/16,23.8703001,NEAS
189,01/09/16,23.73769989,NEAS
190,01/10/16,23.54590015,NEAS
191,01/11/16,23.69354525,NEAS
192,01/12/16,24.01169968,NEAS
193,01/01/17,24.09563654,NEAS
194,01/02/17,24.1832728,NEAS
195,01/03/17,23.91936372,NEAS
196,01/04/17,23.48354548,NEAS
197,01/05/17,23.09709115,NEAS
198,01/06/17,23.04489994,NEAS
199,01/07/17,23.51536352,NEAS
200,01/08/17,23.72350025,NEAS
201,01/09/17,23.46509119,NEAS
202,01/10/17,23.19018173,NEAS
203,01/11/17,23.41019993,NEAS
204,01/12/17,24.0454998,NEAS
205,01/01/18,24.33166673,NEAS
206,01/02/18,24.20977762,NEAS
207,01/03/18,23.8059,NEAS
208,01/04/18,23.18222258,NEAS
209,01/05/18,22.75690002,NEAS
210,01/06/18,22.99730015,NEAS
211,01/07/18,23.6639998,NEAS
212,01/08/18,24.01840019,NEAS
213,01/09/18,23.76549988,NEAS
214,01/10/18,23.26889973,NEAS
215,01/11/18,23.3164999,NEAS
216,01/12/18,23.77375007,NEAS
217,01/01/19,24.20188883,NEAS
218,01/02/19,24.36975026,NEAS
219,01/03/19,24.05850029,NEAS
220,01/04/19,23.34824967,NEAS
221,01/05/19,22.9467001,NEAS
222,01/06/19,22.81233342,NEAS
223,01/07/19,23.13977771,NEAS
224,01/08/19,23.74425006,NEAS
225,01/09/19,23.57342829,NEAS
226,01/10/19,23.12599972,NEAS
227,01/11/19,23.41885676,NEAS
228,01/12/19,23.63912511,NEAS
229,01/01/20,24.01075006,NEAS
